ID	Name	BuffType	Enable	Value
int	string	BuffType	bool	int
ID				
5000	血量+1	1	1	1
50001	血量+2	1	1	2
5001	血量-1	1	1	-1
5002	攻击距离+1	3	1	1
50021	攻击距离+2	3	1	2
5003	攻击距离-1	3	1	-1
50031	攻击距离-2	3	1	-2
50032	攻击距离-3	3	1	-3
5004	移速+1	2	1	1
5005	移速-1	2	1	-1
5006	力量+2	4	1	1
50061	力量+4	4	1	2
50062	力量+6	4	1	3
5007	力量-2	4	1	-1
50071	力量-4	4	1	-2
5008	反弹刺球数量+1	5	1	1
5009	常驻地刺数量+1	6	1	1
5010	触发地刺数量+2	7	1	1
5011	小人地刺数量+2	8	1	1
5012	豌豆射手数量+1	9	1	1
5013	激光射手数量+1	10	1	1
5014	绕圈子弹数量+2	11	1	1
5015	反弹刺球加强	12	1	1
5016	触发地刺加强	14	1	1
5017	豌豆射手加强	16	1	1
5018	激光射手加强	17	1	1
5019	绕圈子弹加强	18	1	1
5020	禁用陷阱	19	1	1
5021	无敌时间=3	20	1	3
5022	开局获得陷阱+1	21	1	1
5023	血量上限+2	22	1	2
