ID	Name	HatType	Enable	UnlockEnemy	UnlockCount	UnlockIcon	Buff	EnableInTapTap	Icon
int	string	HatType	bool	EnemyType	int	string	int[]	bool	string
ID									
3000	1	1	1	0	10	icon_room	5000,5007,5003	1	EyebrowHat
3001	2	2	1	0	25	icon_room	5004,5001	1	MouthHat
3002	3	3	1	0	50	icon_room	50021,50071	1	EyepatchHat
3003	4	4	1	0	100	icon_room	5009,50031	1	MustacheHat
3004	5	5	1	0	150	icon_room	5010,5005	0	MushroomHat
3005	6	6	1	0	200	icon_room	5011,5003	0	FetusHat
3006	7	7	1	0	250	icon_room	50062,50021,5020	0	HelmetHat
3007	8	8	1	1	50	icon_neutral	5002,5001	1	NeutralHat
3008	9	9	1	2	50	icon_basic	5004,5007	1	BasicHat
3009	10	10	1	3	50	icon_range	5012,5001	1	RangeHat
3010	11	11	1	4	50	icon_poop	5008,50032	1	PoopHat
3011	12	12	1	5	50	icon_laser	5013,5007	0	LaserHat
3012	13	13	1	6	50	icon_tank	5000,5006,5005	0	TankHat
3013	14	14	1	7	50	icon_torch	5014,5001	0	TorchHat
