ID	Keyword	en	fr	zh	ja	ko	zh_TW	ru	pl	es	pt	de	tr	it	th	vn
int	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string
ID																
0	LANGUAGE_EN	English	English	English	English	English	English	English	English	English	English	English	English	English	English	English
1	LANGUAGE_FR	Français	Français	Français	Français	Français	Français	Français	Français	Français	Français	Français	Français	Français	Français	Français
2	LANGUAGE_ZH	中文	中文	中文	中文	中文	中文	中文	中文	中文	中文	中文	中文	中文	中文	中文
3	LANGUAGE_JA	日本語	日本語	日本語	日本語	日本語	日本語	日本語	日本語	日本語	日本語	日本語	日本語	日本語	日本語	日本語
4	LANGUAGE_KO	한국어	한국어	한국어	한국어	한국어	한국어	한국어	한국어	한국어	한국어	한국어	한국어	한국어	한국어	한국어
5	LANGUAGE_ZH_TW	繁体中文	繁体中文	繁体中文	繁体中文	繁体中文	繁体中文	繁体中文	繁体中文	繁体中文	繁体中文	繁体中文	繁体中文	繁体中文	繁体中文	繁体中文
6	LANGUAGE_RU	Русский язык	Русский язык	Русский язык	Русский язык	Русский язык	Русский язык	Русский язык	Русский язык	Русский язык	Русский язык	Русский язык	Русский язык	Русский язык	Русский язык	Русский язык
7	LANGUAGE_PL	Polski	Polski	Polski	Polski	Polski	Polski	Polski	Polski	Polski	Polski	Polski	Polski	Polski	Polski	Polski
8	LANGUAGE_ES	Español	Español	Español	Español	Español	Español	Español	Español	Español	Español	Español	Español	Español	Español	Español
9	LANGUAGE_PT	Português	Português	Português	Português	Português	Português	Português	Português	Português	Português	Português	Português	Português	Português	Português
10	LANGUAGE_DE	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch
11	LANGUAGE_TR	Türk	Türk	Türk	Türk	Türk	Türk	Türk	Türk	Türk	Türk	Türk	Türk	Türk	Türk	Türk
12	LANGUAGE_IT	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano
13	LANGUAGE_TH	ภาษาไทย	ภาษาไทย	ภาษาไทย	ภาษาไทย	ภาษาไทย	ภาษาไทย	ภาษาไทย	ภาษาไทย	ภาษาไทย	ภาษาไทย	ภาษาไทย	ภาษาไทย	ภาษาไทย	ภาษาไทย	ภาษาไทย
14	LANGUAGE_VN	Tiếng Việt	Tiếng Việt	Tiếng Việt	Tiếng Việt	Tiếng Việt	Tiếng Việt	Tiếng Việt	Tiếng Việt	Tiếng Việt	Tiếng Việt	Tiếng Việt	Tiếng Việt	Tiếng Việt	Tiếng Việt	Tiếng Việt
